Seq_ID,Accesion,GI,Species,Full_taxonomy,Name
rRNA_M59083.2_9-1478_DIR+,M59083.2,GI:544574263,Acetitomaculum_ruminis,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum;Acetitomaculum_ruminis,"Acetitomaculum_ruminis strain 139B 16S ribosomal RNA gene, partial sequence"
rRNA_NR_037018.1_1-1516_DIR+,NR_037018.1,GI:310975154,Acidaminococcus_fermentans,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus_fermentans,"Acidaminococcus fermentans strain VR4 16S ribosomal RNA gene, partial sequence"
rRNA_U10874.1_1-1526_DIR+,U10874.1,GI:506689,Acinetobacter_baumanii,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter_baumanii,"Acinetobacter_baumanii 16S ribosomal RNA gene, complete sequence"
rRNA_DQ211726.1_1-1364_DIR+,DQ211726.1,GI:81251229,Actinobacillus_rossii,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacilus;Actinobacillus_rossii,"Actinobacillus_rossii strain JF2726 16S ribosomal RNA gene, partial sequence"
rRNA_AF487679.1_3-1504_DIR+,AF487679.1,GI:24637991,Actinobaculum_massiliense,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum;Actinobaculum_massiliense,"Actinobaculum_massiliense strain CIP 107404 16S ribosomal RNA gene, partial sequence"
rRNA_HQ992948.1_1-1500_DIR+,HQ992948.1,GI:325975907,Actinobaculum_schaalii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum;Actinobaculum_schaalii,"Actinobaculum_schaalii strain 34317 16S ribosomal RNA gene, partial sequence"
rRNA_AJ234039.1_1-1513_DIR+,AJ234039.1,GI:6456800,Actinomyces_bowdenii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_bowdenii,"Actinomyces_bowdenii 16S rRNA gene, strain M1956/95/1"
rRNA_AJ249326.1_1-1437_DIR+,AJ249326.1,GI:15485156,Actinomyces_coleocanis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_coleocanis,Actinomyces_sp CCUG 41708 partial 16S rRNA gene
rRNA_AJ697609.1_1-1517_DIR+,AJ697609.1,GI:58036763,Actinomyces_dentalis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_dentalis,"Actinomyces_sp R18165 16S rRNA gene, type strain R18165"
rRNA_DQ985456.1_1-1374_DIR+,DQ985456.1,GI:115589692,Actinomyces_denticolens,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_denticolens,"Actinomyces_denticolens strain KM1804 04 16S ribosomal RNA gene, partial sequence"
rRNA_X80413.1_1-1422_DIR+,X80413.1,GI:1838940,Actinomyces_georgiae,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_georgiae,"A_georgiae 16S rDNA, type strain DSM 6843T"
rRNA_AF433168.1_1-1425_DIR+,AF433168.1,GI:17016960,Actinomyces_hongkongensis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_hongkongensis,"Actinomyces_hongkongensis 16S ribosomal RNA, partial sequence"
rRNA_AF489585.1_1-1376_DIR+,AF489585.1,GI:33321102,Actinomyces_hyovaginalis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_hyovaginalis,"Actinomyces_hyovaginalis strain E6 16S ribosomal RNA gene, partial sequence"
rRNA_AB545933.1_1-1522_DIR+,AB545933.1,GI:288558709,Actinomyces_johnsonii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_johnsonii,"Actinomyces_johnsonii gene for 16S ribosomal RNA, partial sequence"
rRNA_EF558367.1_1-1480_DIR+,EF558367.1,GI:156076356,Actinomyces_massiliensis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_massiliensis,"Actinomyces_massiliensis strain 4401292 16S ribosomal RNA gene, partial sequence"
rRNA_X82451.1_1-1441_DIR+,X82451.1,GI:1838945,Actinomyces_meyeri,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_meyeri,A.meyeri_16S rRNA gene
rRNA_X81062.1_1-1450_DIR+,X81062.1,GI:1838946,Actinomyces_naeslundii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_naeslundii,A.naeslundii_16S rRNA gene
rRNA_AJ508455.1_1-1475_DIR+,AJ508455.1,GI:23503763,Actinomyces_nasicol,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_nasicol,"Actinomyces_nasicol partial 16S rRNA gene, strain CCUG 46092"
rRNA_Z33613.1_1-876_DIR+,Z33613.1,GI:1729442,Actinomyces_neuii,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_neuii,A.neuii_(LCDC 87-080) 16S ribosomal 
rRNA_GQ131411.1_1-1514_DIR+,GQ131411.1,GI:239924940,Actinomyces_odontolyticus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_odontolyticus,"Actinomyces_odontolyticus strain F0309 16S ribosomal RNA gene, partial sequence"
rRNA_AB626631.1_1-1497_DIR+,AB626631.1,GI:329790872,Actinomyces_oricola,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_oricola,"Actinomyces_oricola gene for 16S ribosomal RNA, partial sequence"
rRNA_GQ421308.1_2-1475_DIR+,GQ421308.1,GI:260619935,Actinomyces_oris,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_oris,"Actinomyces_oris strain ATCC 27044 16S ribososmal RNA gene, partial sequence"
rRNA_AJ251986.1_1-1401_DIR+,AJ251986.1,GI:10178949,Actinomyces_radicidentis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_radicidentis,Actinomyces_radicidentis partial 16S rRNA gene
rRNA_DQ072005.1_1-1526_DIR+,DQ072005.1,GI:67866968,Actinomyces_ruminicola,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_ruminicola,"Actinomyces_ruminicola strain B71 16S ribosomal RNA gene, partial sequence"
rRNA_EU484334.1_1-1463_DIR+,EU484334.1,GI:185479346,Actinomyces_timonensis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_timonensis,"Actinomyces_timonensis DSM 23838 16S ribosomal RNA gene, partial sequence"
rRNA_HQ850579.1_5-1397_DIR+,HQ850579.1,GI:323500669,Actinomyces_turicensis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_turicensis,"Actinomyces_turicensis strain WSB-1012 16S ribosomal RNA gene, partial sequence"
rRNA_AJ243791.1_1-1423_DIR+,AJ243791.1,GI:8980290,Actinomyces_urogenitalis,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_urogenitalis,Actinomyces_urogenitalis 16S rRNA gene
rRNA_AJ427451.1_1-1493_DIR+,AJ427451.1,GI:29823185,Actinomyces_vaccimaxillae,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_vaccimaxillae,"Actinomyces_vaccimaxillae 16S rRNA gene, strain R10176T"
rRNA_AB538436.1_1-1502_DIR+,AB538436.1,GI:281485357,Actinomyces_viscosus,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_viscosus,"Actinomyces_viscosus gene for 16S ribosomal RNA, partial sequence, strain: JCM 8353"
rRNA_NR_028978.1_1-1488_DIR+,NR_028978.1,GI:265678673,Actinotignum_urinale,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;Actinotignum_urinale,"Actinotignum urinale strain R9242 16S ribosomal RNA, partial sequence"
rRNA_Y17318.1_1-1501_DIR+,Y17318.1,GI:5701789,Aerococcus_christensenii,Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus_christensenii,Aerococcus_sp CCUG28826 16S rRNA gene
rRNA_AF318316.1_1-1503_DIR+,AF318316.1,GI:17224915,Aerococcus_sanguinicola,Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus_sanguinicola,"Aerococcus_sanguinicola strain BBMML 01 16S ribosomal RNA gene, partial sequence"
rRNA_AY422717.1_4-1539_DIR+,AY422717.1,GI:37703009,Aerococcus_urinae,Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus_urinae,"Aerococcus_urinae isolate DK E2T 16S ribosomal RNA gene, partial sequence"
